Index: 0,Service Name,Korean,English,Script,Command_O,Similarity
194,WeatherProvider.weatherProvider_weather,현재 날씨를 알려줘.,Tell me the current weather.,"{
  ""cron"": """",
  ""period"": -1,
  ""script"": ""
    script ='The current weather is ' + (#WeatherProvider).weatherProvider_weather
    (#Speaker).mediaPlayback_speak(script)
  ""
}",현재 날씨가 어떤지 알려줘.,1.0
195,WeatherProvider.weatherProvider_getWeatherInfo,현재 위치의 최신 날씨 정보를 알려줘.,Get the current weather information for the current location.,"{
  ""cron"": """",
  ""period"": -1,
  ""script"": ""
    (#Speaker).mediaPlayback_speak((#WeatherProvider).weatherProvider_getWeatherInfo)
  ""
}",현재 날씨를 알려줘.,0.75
196,Window.windowControl_window,창문이 닫혀 있는지 확인해줘.,Check if the window is closed.,"{
  ""cron"": """",
  ""period"": -1,
  ""script"": ""
    (#Speaker).mediaPlayback_speak( (#Window).windowControl_window)
  ""
}",창문 상태를 알려줘.,0.8
197,Window.windowControl_open,창문을 열어줘.,Open the window.,"{
  ""cron"": """",
  ""period"": -1,
  ""script"": ""
    (#Window).windowControl_open()
  ""
}",창문 열어줘.,1.0
198,Window.windowControl_close,창을 닫아줘.,Close the window.,"{
  ""cron"": """",
  ""period"": -1,
  ""script"": ""
    (#Window).windowControl_close()
  ""
}",창문 닫아줘.,0.9
199,FallDetector.fallDetection_fall,넘어짐이 발생했는지 감지해줘.,Detect if a fall has occurred.,"{
  ""cron"": """",
  ""period"": 100,
  ""script"": ""
    (#Speaker).mediaPlayback_speak((#fallDetector).fallDetection_fall)
  ""
}",낙상 감지 상태를 알려줘.,0.8
200,OccupancySensor.presenceSensor_presence,로비에 누군가 있는지 확인해줘.,Check if there is someone in the lobby.,"{
  ""cron"": """",
  ""period"": -1,
  ""script"": ""
      (#lobby #Speaker).mediaPlayback_speak((#lobby #OccupancySensor).presenceSensor_presence)
  ""
}",로비에 사람 있는지 알려줘.,1.0
201,Timer.timer_add,30분 후에 만료되는 타이머를 'timer1'이라는 이름으로 설정해줘.,Set a timer with the name 'timer1' to expire in 30 minutes.,"{
  ""cron"": """",
  ""period"": -1,
  ""script"": ""
    (#Timer).timer_add('timer1', 30 MIN)
  ""
}",타이머를 30분으로 설정해줘.,0.7
202,Timer.timer_set,'아침운동'이라는 이름의 타이머를 5분 후에 만료되도록 설정해줘.,Set the timer with the name 'Morning Exercise'to expire in 5 minutes.,"{
  ""cron"": """",
  ""period"": -1,
  ""script"": ""
    (#Timer).timer_set('Morning Exercise', 5 MIN)
  ""
}",5분 후에 '아침 운동' 알람을 설정해줘.,0.7
203,Timer.timer_start,'아침 운동'이라는 이름으로 타이머를 시작해줘.,Start the timer with the name 'Morning Exercise'.,"{
  ""cron"": """",
  ""period"": -1,
  ""script"": ""
    (#Timer).timer_start('Morning Exercise')
  ""
}",아침 운동 타이머를 시작해줘.,1.0
204,Timer.timer_isSet,'저녁 운동'이라는 이름의 타이머가 설정되어 있는지 확인해줘.,Check if the timer with the name ‘Evening Exercise’ is set.,"{
  ""cron"": """",
  ""period"": -1,
  ""script"": ""
   status = (#Timer).timer_isSet('Evening Exercise’)
  (#Speaker).mediaPlayback_speak(status)
  ""
}",저녁 운동 타이머가 설정되어 있는지 알려줘.,1.0
205,Timer.timer_isExist,'저녁 운동'이라는 이름의 타이머가 있는지 확인해줘.,Check if the timer with the name ‘Evening Exercise’ exists .,"{
  ""cron"": """",
  ""period"": -1,
  ""script"": ""
   status = (#Timer).timer_isExist('Evening Exercise')
    (#Speaker).mediaPlayback_speak(status)
  ""
}",'Evening Exercise'라는 타이머가 있는지 알려줘.,1.0
